id,full_text,entities,regest,sender_name,sender_id,receiver_name,receiver_id,sender_date
kasten_blau_44_10_0240.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-07-23
kasten_blau_44_10_0241.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-07-23
kasten_blau_44_10_0242.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-10-22
kasten_blau_44_10_0243.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-11-08
kasten_blau_44_10_0245.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1710-10-19
kasten_blau_44_10_0249.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-12-14
kasten_blau_44_10_0251.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-12-14
kasten_blau_44_10_0254.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1711-01-21
kasten_blau_44_10_0255.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1710-12-31
kasten_blau_44_10_0257.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1710-12-01
